NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple MacBook Pro MPXW2HN/A Laptop (Ci5/ 8GB/ 512GB SSD/ Mac OS),Intel Core i5 7th Gen,8 GB DDR3 RAM,NO,512 GB SSD,Intel Integrated Iris Plus Graphics 640,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,54,000",https://cdn1.smartprix.com/rx-iFlPd0ttT-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro MLW72HN/A Notebook (3rd Gen Ci7/ 16GB/ 256 SSD/ Mac OS X El Capitan/ 2GB Graph),Intel Core i7,16 GB DDR3 RAM,NO,256 GB SSD,2 GB  Graphics Card,"15 inches, 2880 x 1800 pixels",Mac OS,"1,55,000",https://cdn1.smartprix.com/rx-inulJJCU4-w103-h125/apple-macbook-pro-ml.jpg
Apple Macbook Pro MV962HN Laptop (8th Gen Ci5/ 8GB/ 256GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,256 GB SSD,Intel Integrated Iris Plus 655,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,55,000",https://cdn1.smartprix.com/rx-i3ONXVkG8-w103-h125/apple-macbook-pro-mv.webp
Apple MacBook Pro 15 inch MGXC2HN/A Notebook (Ci7/ 16GB/ 512GB SSD/ Mac OS X Mavericks/ 2GB Graph/ Retina Display),Intel 4th Gen Core i7,16 GB DDR3 RAM,NO,512 GB SSD,2 GB NVIDIA Graphics Card,"15.25 inches, 2880 x 1800 pixels",Mac OS,"1,57,000",https://cdn1.smartprix.com/rx-iVq3QTRcn-w103-h125/apple-macbook-pro-15.jpg
Apple MacBook Pro 15 inch MC976HN/A Laptop (2nd Gen Ci7/ 8GB/ 500GB/ Mac OS X Lion/ Retina Display),Intel Core i7 2nd Gen,8 GB DDR3 RAM,512 GB Hard Disk,NO,Intel HD Graphics 4000,"15 inches, 1440 x 900 pixels",Mac OS,"1,60,000",https://cdn1.smartprix.com/rx-iN3PrH6Ix-w103-h125/apple-macbook-pro-15.jpg
Apple Macbook Pro (Intel Core i7/16GB/ 512 GB /Intel Iris Pro Graphics NVIDIA GE Force GT750M 2GB/ Mac OS),Intel Core i7 4th Gen,16 GB DDR3 RAM,512 GB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"1,62,000",https://cdn1.smartprix.com/rx-itgro3nng-w103-h125/apple-macbook-pro-in.jpg
Apple MacBook Pro MWP72HN Laptop (10th Gen Core i5/ 16GB/ 512GB SSD/ Mac OS Catalina),Intel Core i5 10th Gen,16 GB LPDDR4X RAM,NO,512 GB SSD,Intel Integrated Iris Plus,"13 inches, 2560 x 1600 pixels",Mac OS,"1,64,000",https://cdn1.smartprix.com/rx-iiGCxEFPw-w103-h125/apple-macbook-pro-mw.webp
Apple MacBook Pro MV9A2HN Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,512 GB SSD,Intel Integrated Iris Plus 655,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,66,000",https://cdn1.smartprix.com/rx-iqVU1XIdC-w103-h125/apple-macbook-pro-mv.jpg
Apple MacBook Pro 2018 13-inch Laptop (Core i7/ 8GB/ 256GB SSD/ MacOS High Sierra),Core i7,8 GB DDR3 RAM,NO,256 GB SSD,Intel Iris Plus Graphics 640,"13.3 inches, 1600 x 2560 pixels",Mac High Sierra OS,"1,66,000",https://cdn1.smartprix.com/rx-iFvGFN9rz-w103-h125/apple-macbook-pro-20.jpg
Apple MacBook Pro MR9V2HN/A Ultrabook (8th Gen Core i5/ 8GB/ 512GB SSD/ macOS),Intel Core i5 8th Gen,8 GB LPDDR3 RAM,NO,512 GB SSD,Intel Iris Plus Graphics 655,"13.3 inches, 2560 x 1600 pixels",Mac OS," 1,66,000 ",https://cdn1.smartprix.com/rx-ip4qtfA8U-w103-h125/apple-macbook-pro-mr.jpg
