NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
HP Pavilion x360 14-dh1007TU Laptop (10th Gen Core i3/ 4GB/ 256GB SSD/ Win10),Intel Core i3 10th Gen,4 GB DDR4 RAM,NO,256 GB SSD,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,390 ",https://cdn1.smartprix.com/rx-iQtUs2HX0-w103-h125/hp-pavilion-11-s002t.jpg
HP 15-bs652TX (2YD35PA) Laptop (6th Gen Ci3/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R4,"14 inches, 1366 x 768 pixels",DOS OS," 19,400 ",https://cdn1.smartprix.com/rx-iSx7rEbld-w103-h125/hp-245-g5-y9q66pc-la.jpg
HP Pavilion x360 14-dh1178TU Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win10 Home),Intel Core i3 10th Gen,8 GB DDR4 RAM,NO,512 GB SSD,Intel UHD 600,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,421 ",https://cdn1.smartprix.com/rx-in2Rjlnqk-w103-h125/hp-250-g7-7gz79pa-la.jpg
HP ProBook 440 G2 (T8B62PA) Laptop (5th Gen Intel Ci3/ 4GB/ 1TB/ Win7),Intel Core i3 4th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,AMD Radeon R2 Graphics,"15.6 inches, 1600 x 900 pixels",DOS OS," 19,438 ",https://cdn1.smartprix.com/rx-i40MsrrVw-w103-h125/hp-15-g222au-noteboo.jpg
HP TouchSmart 15-r207tu (K8U34PA) Notebook (5th Gen Ci3/ 4GB/ 500GB/ Win8.1/ Touch),Intel Core i3 5th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,AMD Radeon 9425,"14 inches, 1366 x 768 pixels",Windows 10 OS," 19,450 ",https://cdn1.smartprix.com/rx-ichQm9RDo-w103-h125/hp-14q-cy0004au-7ng9.jpg
HP 15-bs658tu (4JA86PA) Laptop (7th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,490 ",https://cdn1.smartprix.com/rx-iDFLlUAqj-w103-h125/hp-15-ac649tu-notebo.jpg
HP 15-5116TX Notebook (4th Gen Ci7/ 8GB/ 256GB SSD/ Win8.1/ 2GB Graph) (M4Y24PA),Intel Core i7,8 GB DDR3 RAM,NO,NO,4 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,490 ",https://cdn1.smartprix.com/rx-imG0Rztj2-w103-h125/hp-15-be002tu-w6t70p.jpg
HP 14-ck0119TU (5JS04PA) Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,15.6 inches,Windows 8 OS," 19,499 ",https://cdn1.smartprix.com/rx-ijp3Om51C-w103-h125/hp-15-ac054tu-m9v72p.jpg
HP ProBook 440 G6 (5VC21UT) Laptop (8th Gen Core i7/ 8GB/ 256GB SSD/ Win10),Intel Core i7 8th Gen,8 GB DDR4 RAM,NO,256 GB SSD,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,584 ",https://cdn1.smartprix.com/rx-iaJESDNvW-w103-h125/hp-15-ac647tu-v5c94p.jpg
HP 15-ay516tx (1HQ16PA) Notebook (6th Gen Ci5/ 4GB/ 1TB/ FreeDOS/ 2GB Graphic),Intel Core i5 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R5,"14 inches, 1366 x 768 pixels",DOS OS," 19,599 ",https://cdn1.smartprix.com/rx-iJMw7eP9L-w103-h125/hp-245-g6-2ue06pa-la.jpg
