NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM,PRICE,IMAGE-src
Acer Aspire 3 A315-33 (NX.GY3SI.004) Laptop (Celeron Dual Core/ 2GB/ 500GB/ Linux),Intel Core i5 3rd Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,499",https://cdn1.smartprix.com/rx-ibOqF53pm-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire ES1-523 (NX.GKYSI.001) Laptop (AMD Dual Core E1 / 4GB/ 1TB/ FreeDOS),Intel Atom 6th Gen,4 GB DDR3 RAM,1 TB Hard Disk,,AMD,"11.6 inches, 1366 x 768 pixels",DOS OS,"18,499",https://cdn1.smartprix.com/rx-i3cXWBBZI-w103-h125/acer-aspire-es1-523.jpg
Acer Aspire V5-123 Netbook (APU Dual Core/ 2GB/ 500GB/ Linux) (NX.MFRSI.002),AMD APU,2 GB DDR3 RAM,500 GB Hard Disk,,512 MB AMD Graphics Card,"11.6 inches, 1366 x 768 pixels",Ubuntu OS,"18,500",https://cdn1.smartprix.com/rx-iNH8QtmLy-w103-h125/acer-aspire-v5-123-n.jpg
Acer Aspire E5-511 Notebook (1st Gen PQC/ 2GB/ 500GB/ Linux) (NX.MNYSI.004),Intel 1st Gen Pentium,2 GB DDR3 RAM,500 GB Hard Disk,,,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,500",https://cdn1.smartprix.com/rx-iYhAHZ5rn-w103-h125/acer-aspire-e5-511-n.jpg
Acer A315-21-2109 (UN.GNVSI.001) Laptop (7th Gen AMD E2/ 4GB/ 1TB/ Win10 Home),APU Dual Core E2,4 GB DDR4 RAM,1 TB Hard Disk,,AMD Radeon R2,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,500",https://cdn1.smartprix.com/rx-iQQFp3DKn-w103-h125/acer-a315-21-2109-un.jpg
Acer TravelMate P249-M Laptop (Pentium Dual Core 4450/ 4GB/ 500GB/ Linux),Intel Pentium Dual-Core,4 GB DDR4 RAM,500 GB Hard Disk,,,"14 inches, 1920 x 1080 pixels",Windows 10 OS,"18,500",https://cdn1.smartprix.com/rx-imrPeob4m-w103-h125/acer-travelmate-p249.jpg
Acer Aspire 3 A315-21 (UN.GNVSI.009) Laptop (APU Dual Core A4/ 4GB/ 1TB/ Win10),AMD APU,4 GB DDR4 RAM,1 TB Hard Disk,,AMD Radeon R2,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,750",https://cdn1.smartprix.com/rx-iXReV6dOG-w103-h125/acer-aspire-3-a315-2.jpg
Acer Aspire E1-531 Laptop (2nd Gen PDC/ 4GB/ 500GB/ Linux) (NX.M12SI.018),Intel Pentium 2nd Gen,4 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,900",https://cdn1.smartprix.com/rx-iN0cTiic7-w103-h125/acer-aspire-e1-531-l.jpg
Acer Aspire 3 A315-31 (UN.GNTSI.001) Laptop (CDC/ 2GB/ 500GB/ Win10),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,990",https://cdn1.smartprix.com/rx-iPZ2szoH4-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire ES1-533-C1SX (NX.GFTSI.021) Notebook CDC/ 2GB/ 500GB HDD/ Linux),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,990",https://cdn1.smartprix.com/rx-iWalCCTql-w103-h125/acer-aspire-es1-533.jpg
Acer Aspire 3 A315-33 (UN.GY3SI.002) Laptop (Celeron Dual Core/ 2GB/ 500GB/ Win10 Home),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,990",https://cdn1.smartprix.com/rx-iWjjA2Idm-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire 3 A315-31 (NX.GR5SI.001) Laptop (PQC/ 4GB/ 1TB/ Linux),Intel Pentium,4 GB DDR3 RAM,1 TB Hard Disk,,Intel Integrated HD 505,"15.6 inches, 1366 x 768 pixels",Linux OS,"18,990",https://cdn1.smartprix.com/rx-icLEOTOxV-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire E1-522 Laptop (APU Quad Core A6/ 4GB/ 500GB/ Linux) (NX.M81SI.010),AMD APU,4 GB DDR3 RAM,500 GB Hard Disk,,AMD Radeon HD Graphics,"15.6 inches, 1366 x 768 pixels",Ubuntu OS,"18,990",https://cdn1.smartprix.com/rx-iWWicCxNv-w103-h125/acer-aspire-e1-522-l.jpg
Acer Aspire A315-31 Laptop (CDC/ 4GB/ 500GB/ Linux),Intel Celeron,4 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated,"15.6 inches, 1920 x 1080 pixels",Linux OS,"18,990",https://cdn1.smartprix.com/rx-iqKEuHyoW-w103-h125/acer-aspire-a315-31.jpg
Acer Aspire 3 A315-21 (NX.GNVSI.003) Laptop (APU Dual Core A4/ 4GB/ 1TB/ Win10),AMD A4 APU,4 GB DDR4 RAM,1 TB Hard Disk,,AMD Radeon R4 Graphics,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,990",https://cdn1.smartprix.com/rx-iHAIqGLec-w103-h125/acer-aspire-3-a315-2.jpg
Acer Aspire 3 A315-33 (UN.GY3SI.001) Laptop (Pentium Quad Core/ 4GB/ 500GB/ Win10 Home),Intel Core i5 3rd Gen,4 GB DDR4 RAM,500 GB Hard Disk,,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows OS,"18,990",https://cdn1.smartprix.com/rx-icGzNL5FU-w103-h125/acer-aspire-3-a315-3.jpg
Acer One 14 P9L1 (UN.G80SI.017) Laptop (4th Gen Intel PDC/ 2GB/ 500GB/ Linux),Intel Pentium 4th Gen,2 GB  RAM,500 GB Hard Disk,,Intel HD Graphics,"14 inches, 1366 x 768 pixels",Linux OS,"18,999",https://cdn1.smartprix.com/rx-iBKtYUhyc-w103-h125/acer-one-14-p9l1-un.jpg
Acer Aspire ES1-132-C897 (NX.GG4SI.005) Laptop (Celeron Dual Core/ 2GB/ 500GB/ Win10),Intel Celeron N4000,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 10 OS,"18,999",https://cdn1.smartprix.com/rx-ic8VeYNzQ-w103-h125/acer-aspire-es1-132.jpg
Acer Aspire 3 A315-21 (NX.GNVSI.011) Laptop (AMD Dual Core E2/ 4GB/ 1TB/ Win10),AMD E2-9000,4 GB DDR4 RAM,1 TB Hard Disk,,AMD Radeon R2,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS,"18,999",https://cdn1.smartprix.com/rx-ieclQAtZz-w103-h125/acer-aspire-3-a315-2.jpg
Acer Aspire 3 A315-31 (NX.GNTSI.011) Laptop (CDC/ 4GB/ 1TB/ FreeDOS),Intel Celeron Dual Core N3350,4 GB DDR3 RAM,1 TB Hard Disk,,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS,"19,479",https://cdn1.smartprix.com/rx-isPCOMWB7-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire E3-111 (NX.MQBSI.004) Netbook (4th Gen Celeron Dual Core/ 2GB/ 500GB/ Win8.1),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Windows 8 OS,"19,490",https://cdn1.smartprix.com/rx-idCNXy24Q-w103-h125/acer-aspire-e3-111-n.jpg
