NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Asus F451C F Series Laptop( Intel Core i3/4 GB/500 GB /Intel HD Graphics 4000 Graph/ DOS ),Intel Core i3 3rd Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4000,"14 inches, 1366 x 768 pixels",DOS OS," 25,550 ",https://cdn1.smartprix.com/rx-i0ejBpYZd-w103-h125/asus-f451c-f-series.jpg
Asus X200MA-XX545D Laptop (3rd Gen Core i3/ 2GB/ 500GB/ FreeDOS),Intel Core i3 3rd Gen,2 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD 4000,"15.6 inches, 1366 x 768 pixels",DOS OS," 25,599 ",https://cdn1.smartprix.com/rx-ik1n9qIlz-w103-h125/asus-x200ma-xx545d-l.jpg
Asus X201E-KX178D Netbook (CDC/ 2GB/ 500GB/DOS),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics,11.6 inches,DOS OS," 25,605 ",https://cdn1.smartprix.com/rx-imm41nsRQ-w103-h125/asus-x201e-kx178d-ne.jpg
Asus X541U-DM846D Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD,15.6 inches,DOS OS," 25,890 ",https://cdn1.smartprix.com/rx-iXycSttyd-w103-h125/asus-x541u-dm846d-la.jpg
Asus Vivobook X507UA-EJ836T Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 25,894 ",https://cdn1.smartprix.com/rx-ixT43qe08-w103-h125/asus-vivobook-x507ua.jpg
Asus A555LA-XX2068D Laptop (5th Gen Core i3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD,15.6 inches,DOS OS," 25,990 ",https://cdn1.smartprix.com/rx-iN4EA2wZL-w103-h125/asus-a555la-xx2068d.jpg
Asus F541NA-GO653T Laptop (CDC/ 4GB/ 1TB/ Win10),Intel Celeron 7th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 25,990 ",https://cdn1.smartprix.com/rx-i3HfTqEsS-w103-h125/asus-f541na-go653t-l.jpg
Asus Vivobook X541UA-DM1360D Laptop (7th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 7100U 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD 620,"15.6 inches, 1920 x 1080 pixels",DOS OS," 25,990 ",https://cdn1.smartprix.com/rx-iRxr8DrQU-w103-h125/asus-vivobook-x541ua.jpg
Asus Vivobook X541UA-DM1254D Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD 520,"15.6 inches, 1920 x 1080 pixels",DOS OS," 25,990 ",https://cdn1.smartprix.com/rx-ipUxI75yk-w103-h125/asus-vivobook-x541ua.jpg
Asus X200LA-KX037H Laptop (4th Gen Ci3/ 4GB/ 500GB/ Win8.1),Intel Core i3 4th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4400,"11.6 inches, 1366 x 768 pixels",Windows 8 OS," 25,999 ",https://cdn1.smartprix.com/rx-isObJyMb3-w103-h125/asus-x200la-kx037h-l.jpg
Asus X550CC-XX876H X Laptop(Intel Core i3/ 4GB/ 750GB/ Win8/ 2GB Graph),Intel Core i3,4 GB DDR3 RAM,750 GB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 25,999 ",https://cdn1.smartprix.com/rx-iMyxS7kzv-w103-h125/asus-x550cc-xx876h-x.jpg
Asus X X540UA Laptop (7th Gen Core i3/ 4GB/ 1TB/ Endless OS),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD 620,"15.6 inches, 1366 x 768 pixels",Linux OS," 25,999 ",https://cdn1.smartprix.com/rx-iGb45sJTd-w103-h125/asus-x-x540ua-laptop.jpg
