NAME,PROCESSOR,RAM,,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Lenovo G50-80 (80E502ULIN) Notebook (5th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2GB Graph),Intel i3 5th generation 5th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,3 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 56,999 ",https://cdn1.smartprix.com/rx-iVzY930fj-w103-h125/lenovo-ideapad-l340.jpg
Lenovo Ideapad 320 (80XR015CIN) Laptop (CDC/ 4GB/ 1TB/ FreeDos),Intel Celeron N3350,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,2 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 65,500 ",https://cdn1.smartprix.com/rx-ijfWiyiLs-w103-h125/lenovo-ideapad-s540.jpg
Lenovo G50 (80E501LRIN) Notebook (5th Gen Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph),Intel Core i5 5th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 60,990 ",https://cdn1.smartprix.com/rx-iLjBrrQbH-w103-h125/lenovo-thinkpad-e14.jpg
Lenovo G50-80 (80E5038EIH) Notebook (5th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,2 GB Intel Graphics Card,"14 inches, 1366 x 768 pixels",Windows 10 OS," 79,990 ",https://cdn1.smartprix.com/rx-iX4N7as99-w103-h125/lenovo-e490-20n8s0jd.jpg
Lenovo V110 (80TDA00KIN) Laptop (AMD E2-9010/ 4GB/ 1TB/ FreeDOS),AMD E2 9010,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,Intel Integrated UHD,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 58,990 ",https://cdn1.smartprix.com/rx-iKwGySgoU-w103-h125/lenovo-thinkpad-e14.jpg
Lenovo Z50-70 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (59-436412),Intel Core i5 4th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB  Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 58,990 ",https://cdn1.smartprix.com/rx-iRUfAAkQJ-w103-h125/lenovo-legion-y520-1.jpg
Lenovo B50-70 Notebook (4th Gen Ci3/ 4GB/ 1TB/ Free DOS/ 1GB Graph) (59-427748),Intel Core i3 4th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 76,253 ",https://cdn1.smartprix.com/rx-i4aRwOS8o-w103-h125/lenovo-legion-y530-8.jpg
Lenovo Z50-70 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Intel HD Graphics 4400/Free DOS),Intel Core i5 4th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 62,990 ",https://cdn1.smartprix.com/rx-iI2iQOK3V-w103-h125/lenovo-l340-81lk004n.jpg
Lenovo Z50 Notebook (4th Gen Ci5/ 4GB/ 1TB/ 2GB Graph/ Free DOS),Intel Core i5 4th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 1,06,000 ",https://cdn1.smartprix.com/rx-i1svxxdDt-w103-h125/lenovo-legion-y7000.jpg
Lenovo G50-80 (80E5021XIN) Notebook (5th Gen Ci5/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i5,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 89,990 ",https://cdn1.smartprix.com/rx-iJqZrbJiD-w103-h125/lenovo-legion-y530-8.jpg
Lenovo Ideapad 110 (80TJ00BDIH) Laptop (AMD Quad Core A6/ 4GB/ 1TB/ FreeDOS),AMD APU A6 6th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 1,04,000 ",https://cdn1.smartprix.com/rx-iv78DslMe-w103-h125/lenovo-legion-y520-n.jpg
Lenovo Ideapad 110 (80UD014RIH) Laptop (6th Gen Ci5/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i5 6th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 68,990 ",https://cdn1.smartprix.com/rx-iYFQHf9MI-w103-h125/lenovo-legion-y530-1.jpg
Lenovo Essential G505S (59-380131) Laptop (APU Quad Core A10/ 4GB/ 1TB/ Win8/ 2GB Graph),AMD A10 APU,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,Intel HD 620,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 54,990 ",https://cdn1.smartprix.com/rx-istYBgrRP-w103-h125/lenovo-ideapad-520s.jpg
Lenovo U41-70 (80JV007GIN) Laptop (5th Gen Intel Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph),Intel Core i5 5th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 79,990 ",https://cdn1.smartprix.com/rx-ikcVURTHA-w103-h125/lenovo-legion-y530-8.jpg
Lenovo ThinkPad Edge E431 Laptop (3rd Gen Intel Ci3/ 4GB/ 1TB/ Win8/ 2GB Graph),Intel Core i3 3rd Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,Intel UHD 620,"14 inches, 1366 x 768 pixels",Windows 10 OS," 67,500 ",https://cdn1.smartprix.com/rx-iii6uuHGS-w103-h125/lenovo-thinkpad-e490.jpg
Lenovo Ideapad 500-15ISK (80NT00L5IN) Notebook (6th Gen Intel Ci5/ 4GB/ 1TB/ Win10/ 2GB Graph),Intel Core i5 6th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,AMD Radeon Vega 3,"14 inches, 1920 x 1080 pixels",Windows 10 OS," 38,105 ",https://cdn1.smartprix.com/rx-iBc0zK6gw-w103-h125/lenovo-ideapad-s340.jpg
Lenovo Ideapad 320 (80XR016WIH) Laptop (PQC/ 4GB/ 1TB/ Win10),Intel Pentium N4200,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB Nvidia Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 99,990 ",https://cdn1.smartprix.com/rx-ioeYREUMr-w103-h125/lenovo-legion-y520-8.jpg
Lenovo essential G500 (59-380706) Laptop (3rd Gen Pentium Dual Core/ 4GB/ 1TB/ Win8),Intel Pentium 3rd Gen,4 GB DDR3 RAM,,1 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 75,999 ",https://cdn1.smartprix.com/rx-iMc2w4ri0-w103-h125/lenovo-legion-y540-8.jpg
Lenovo U41-70 (80JV007DIN) Laptop (5th Gen Intel Ci3/ 4GB/ 1TB/ Win8.1),Intel Core i3,4 GB DDR3 RAM,,128 GB Hard Disk,128 GB SSD,Intel HD Graphics 4000,"13.3 inches, 1600 x 900 pixels, Touch Screen",Windows 10 OS," 80,576 ",https://cdn1.smartprix.com/rx-i0PBUANex-w103-h125/lenovo-ideapad-yoga.jpg
